"run1","run2","run3","run4","run5","run6","run7","run8","run9","run10","run11","run12","run13","run14","run15","run16","run17","run18","run19","run20","run21","run22","run23","run24","run25","run26","run27","run28","run29","run30","run31","run32","run33","run34","run35","run36","run37","run38","run39","run40","run41","run42","run43","run44","run45","run46","run47","run48","run49","run50","run51","run52","run53","run54","run55","run56","run57","run58","run59","run60","run61","run62","run63","run64","run65","run66","run67","run68","run69","run70","run71","run72","run73","run74","run75","run76","run77","run78","run79","run80","run81","run82","run83","run84","run85","run86","run87","run88","run89","run90","run91","run92","run93","run94","run95","run96","run97","run98","run99","run100"
0.4618185,0.4655975,0.430527,0.4284625,0.4316455,0.443277,0.428879,0.479027,0.3989555,0.4902535,0.4384825,0.4280905,0.445248,0.447377,0.445122,0.463286,0.429213,0.4248525,0.406027,0.4705655,0.4285485,0.4636775,0.437231,0.4633455,0.418499,0.4073555,0.453621,0.462559,0.4393555,0.41372,0.4637895,0.4324395,0.407373,0.392738,0.422092,0.428709,0.4331785,0.4255345,0.4599995,0.4670815,0.403984,0.4269945,0.4336375,0.4656195,0.4278285,0.418026,0.4241115,0.4292475,0.4303935,0.4445885,0.4255315,0.4491975,0.4156975,0.4091845,0.442118,0.415123,0.4279255,0.4402905,0.421144,0.417908,0.4723345,0.4335865,0.4593175,0.4589645,0.4524785,0.4354275,0.432158,0.4398125,0.423416,0.4391245,0.446561,0.436971,0.445301,0.4400895,0.446506,0.430883,0.404087,0.4486515,0.4013765,0.454441,0.455566,0.440427,0.448212,0.4221455,0.415743,0.423575,0.415167,0.4718155,0.467316,0.4817645,0.421958,0.4341345,0.4154815,0.4427275,0.459628,0.423636,0.443873,0.3934245,0.440613,0.4298325
0.47352,0.4545505,0.4411125,0.4190635,0.435584,0.4393975,0.421833,0.4795845,0.4192845,0.49624,0.439279,0.4303625,0.4478325,0.4333645,0.4514345,0.465558,0.437614,0.428714,0.4074905,0.4869725,0.4120885,0.4617295,0.4171335,0.445645,0.431116,0.4135345,0.4559095,0.462928,0.4375295,0.430744,0.445523,0.435887,0.390481,0.39428,0.4148815,0.4153985,0.4628835,0.4230605,0.4308965,0.484811,0.4069145,0.4415215,0.4286315,0.4525805,0.4301675,0.4256345,0.4467485,0.4394765,0.417857,0.460374,0.4323985,0.4459425,0.4419715,0.429985,0.444562,0.4409,0.4308185,0.4281945,0.429082,0.4403205,0.4627395,0.441487,0.4468025,0.4589215,0.475785,0.4472405,0.431723,0.4302245,0.4276895,0.435639,0.437585,0.4402015,0.4584015,0.429053,0.4528725,0.416095,0.3956545,0.45615,0.4249135,0.4513745,0.453869,0.444303,0.435434,0.4333535,0.4065055,0.419346,0.42629,0.465006,0.463452,0.4816275,0.4066935,0.42733,0.4192945,0.439689,0.469625,0.422273,0.4360895,0.403676,0.430748,0.4200925
0.472064,0.45656,0.4428395,0.4351455,0.4434695,0.4411305,0.4237105,0.4723905,0.428369,0.4844395,0.453961,0.403797,0.4419135,0.4401255,0.434894,0.481159,0.436448,0.4322855,0.41211,0.4848765,0.4139855,0.4609435,0.4164985,0.445399,0.4207485,0.4164075,0.4519745,0.4681455,0.424767,0.436301,0.4707915,0.442699,0.39541,0.3987385,0.402743,0.4223315,0.434312,0.4124155,0.4331075,0.4806965,0.4297325,0.453332,0.4163345,0.45675,0.420146,0.425309,0.4599545,0.447879,0.4296935,0.44924,0.444185,0.44894,0.409265,0.448582,0.429615,0.4363385,0.439501,0.418769,0.4471765,0.425275,0.45992,0.4488925,0.453846,0.456698,0.4476385,0.4318225,0.422648,0.434534,0.408353,0.439121,0.4156185,0.4554715,0.4451525,0.437931,0.4375125,0.4359685,0.383576,0.450871,0.4305175,0.450269,0.424312,0.445217,0.4542595,0.4264945,0.40297,0.4316785,0.42964,0.4963155,0.4585415,0.4912875,0.412012,0.42447,0.409832,0.439797,0.4877865,0.4268175,0.4336725,0.4069095,0.428753,0.4338375
0.4698055,0.436604,0.431393,0.435492,0.4329755,0.447345,0.438856,0.471845,0.432712,0.486519,0.439441,0.4100405,0.43613,0.4356135,0.4535015,0.4663265,0.4346475,0.4246665,0.4105515,0.4978075,0.40911,0.466014,0.429936,0.4536275,0.4338855,0.411288,0.445753,0.4615695,0.448183,0.415176,0.4399425,0.4369635,0.392552,0.4113885,0.414907,0.436259,0.4492805,0.4274455,0.432372,0.479165,0.4163085,0.4466535,0.4146405,0.45905,0.4222435,0.427468,0.4341085,0.442926,0.4305735,0.466776,0.4429735,0.4512425,0.4312805,0.4595285,0.4363485,0.436,0.425482,0.4189805,0.440791,0.4196345,0.4563425,0.4205285,0.476081,0.45336,0.4558025,0.4273575,0.4388055,0.441877,0.421453,0.430466,0.421765,0.4620865,0.4611845,0.4453645,0.457293,0.450596,0.3732035,0.438073,0.4360385,0.4517215,0.4360385,0.425039,0.446494,0.45836,0.4159335,0.420403,0.430959,0.4855185,0.454561,0.472944,0.4247295,0.4244625,0.4185985,0.430647,0.4919205,0.4361135,0.428926,0.405699,0.4233095,0.4353115
0.468734,0.457511,0.4206995,0.435352,0.4515765,0.444938,0.4199365,0.46623,0.4194655,0.4815705,0.455928,0.413083,0.4307865,0.423711,0.4575365,0.463616,0.423162,0.433343,0.4154225,0.4768425,0.418129,0.471322,0.421876,0.4600635,0.4338465,0.414549,0.451467,0.455837,0.4490565,0.414585,0.439536,0.4425475,0.387145,0.4043655,0.408663,0.437881,0.4629235,0.406636,0.449812,0.4759245,0.3974015,0.454458,0.4181615,0.4474835,0.416009,0.430419,0.4378325,0.4445865,0.4378215,0.44486,0.4464685,0.4474255,0.424395,0.4599225,0.4485925,0.4500995,0.4352375,0.4195345,0.4395815,0.4328055,0.453229,0.417354,0.4601425,0.478933,0.44834,0.424384,0.424155,0.4319415,0.4230575,0.455138,0.436778,0.450411,0.455687,0.43443,0.4503785,0.442567,0.3851925,0.4406345,0.43485,0.449925,0.436468,0.448539,0.455243,0.4443845,0.4244925,0.410704,0.441632,0.4824425,0.448871,0.4701485,0.4186885,0.4003785,0.425662,0.4278495,0.510627,0.432714,0.4499755,0.4249715,0.4190725,0.4516365
0.4613075,0.4508555,0.425731,0.4231055,0.4419125,0.4472685,0.440546,0.4745495,0.4214705,0.5046325,0.434161,0.415331,0.438869,0.42863,0.4465945,0.4615925,0.436698,0.439056,0.4276,0.5003335,0.4270135,0.4574145,0.4255775,0.463866,0.429784,0.4244165,0.4590645,0.4658935,0.455605,0.430261,0.440638,0.4397675,0.3938685,0.4045285,0.422318,0.4436265,0.461332,0.414238,0.4380405,0.4698645,0.4007825,0.4524175,0.409007,0.45479,0.4343385,0.427259,0.4271625,0.452641,0.4488185,0.451214,0.4465235,0.445683,0.4360835,0.455259,0.4413455,0.4517085,0.456916,0.4169505,0.4361745,0.423688,0.457447,0.435329,0.4514255,0.461424,0.451857,0.4208305,0.4303875,0.4204695,0.44391,0.43463,0.4283365,0.4446,0.4411205,0.438141,0.452909,0.445022,0.394,0.450852,0.4423005,0.459037,0.4493065,0.423637,0.439319,0.4361285,0.4217045,0.4094495,0.4336755,0.4973785,0.4604505,0.476265,0.431485,0.434535,0.414048,0.430296,0.4919685,0.4264545,0.4337285,0.415105,0.4215355,0.4314845
0.459516,0.442673,0.416751,0.4376035,0.443699,0.449117,0.4340185,0.4511065,0.4308305,0.490736,0.43867,0.416111,0.436415,0.4319445,0.448232,0.462002,0.4261865,0.4561,0.4191755,0.4986115,0.4088665,0.4624325,0.4320585,0.4502955,0.4204435,0.4188915,0.457656,0.4515165,0.4497165,0.4110305,0.430675,0.431569,0.394128,0.401984,0.4168835,0.453708,0.4445885,0.4216915,0.4241855,0.4881545,0.405022,0.448217,0.41303,0.4515005,0.4240055,0.429004,0.4370095,0.440799,0.4496625,0.4426465,0.426611,0.436666,0.4328985,0.456525,0.44156,0.4451865,0.4525875,0.4270325,0.4414175,0.4179985,0.431472,0.4219185,0.452417,0.466403,0.4575595,0.4380375,0.4344175,0.423919,0.436499,0.457697,0.443898,0.4616935,0.4648775,0.42075,0.4562535,0.451238,0.3949145,0.44069,0.4494985,0.4533055,0.4499965,0.435835,0.456888,0.442001,0.4206865,0.4362815,0.4311115,0.4931695,0.4533505,0.4705305,0.4276705,0.4148255,0.415457,0.432497,0.474722,0.45908,0.4456935,0.4253685,0.426397,0.4218025
0.461106,0.453798,0.413681,0.4156875,0.438235,0.452254,0.4542815,0.4530835,0.429864,0.4998015,0.4615675,0.414015,0.434923,0.4282085,0.440438,0.4771655,0.415262,0.4525995,0.420412,0.4918125,0.4252025,0.456622,0.428108,0.4671685,0.4387465,0.4161195,0.4576315,0.454469,0.438528,0.426097,0.449478,0.432718,0.3973655,0.402425,0.430573,0.4397505,0.4576165,0.412866,0.438535,0.4738385,0.402802,0.443746,0.4075465,0.4474035,0.4457115,0.436429,0.426243,0.440009,0.432354,0.44153,0.4289565,0.444408,0.4283205,0.45553,0.4541965,0.429356,0.442543,0.412331,0.434037,0.4214175,0.462302,0.436434,0.4298535,0.4621905,0.455569,0.435012,0.4375935,0.42499,0.43199,0.445051,0.419086,0.4459725,0.4407915,0.4451945,0.452784,0.4424685,0.3930545,0.450864,0.4422125,0.4568885,0.4541955,0.427179,0.4577625,0.442826,0.423512,0.4344275,0.4133285,0.504427,0.4802205,0.48899,0.434455,0.428505,0.423847,0.4355325,0.4720895,0.4611225,0.4469555,0.430976,0.4294085,0.4288155
0.4649885,0.452936,0.4314995,0.4341645,0.4370195,0.467454,0.433906,0.450941,0.417068,0.5045695,0.4515045,0.4084095,0.4470655,0.4338035,0.4542325,0.473188,0.4242005,0.44821,0.426954,0.4875315,0.405905,0.453845,0.423403,0.4399325,0.4118125,0.417207,0.451224,0.448682,0.456095,0.4329245,0.4451625,0.4381695,0.4081125,0.397772,0.421361,0.4517255,0.458899,0.4264415,0.4342475,0.4732755,0.4092465,0.4357055,0.418282,0.448408,0.4466535,0.4358745,0.4379275,0.44324,0.432307,0.4370885,0.43772,0.425438,0.438765,0.443638,0.436088,0.4414455,0.443341,0.422568,0.4463545,0.425319,0.4364975,0.450519,0.4614485,0.4508945,0.439595,0.4280135,0.4279535,0.4204255,0.429417,0.4555625,0.432391,0.467505,0.446275,0.444872,0.428704,0.4420775,0.373413,0.4290575,0.450507,0.459437,0.444557,0.4207175,0.460542,0.438212,0.426341,0.4369545,0.4091615,0.4919935,0.4657785,0.473532,0.4445305,0.42842,0.4149095,0.4547005,0.479004,0.4527675,0.432426,0.416769,0.4282305,0.4300145
0.4727225,0.4522955,0.4379155,0.4214255,0.45085,0.453598,0.4298195,0.4552105,0.4378565,0.475913,0.434531,0.411193,0.441803,0.4388905,0.4683035,0.4678805,0.435233,0.450189,0.429972,0.484768,0.4136345,0.452381,0.415901,0.459462,0.4429475,0.422624,0.4610705,0.44993,0.462385,0.4278985,0.4557975,0.415267,0.3960555,0.412225,0.4217675,0.435933,0.471406,0.4361185,0.432544,0.4663275,0.4186655,0.4462035,0.41185,0.4450545,0.442622,0.4475435,0.433362,0.457276,0.426489,0.452936,0.4498735,0.4283785,0.4405575,0.452525,0.4449135,0.44559,0.4398555,0.4191235,0.4497265,0.429158,0.436118,0.452843,0.4516675,0.446385,0.447872,0.4132455,0.4381905,0.423437,0.4234235,0.4438615,0.4309535,0.434666,0.4710325,0.4299385,0.4525135,0.445103,0.391994,0.450057,0.4481645,0.455863,0.4632195,0.4343835,0.475602,0.436088,0.4297355,0.4382405,0.421105,0.4935735,0.4644835,0.490085,0.434091,0.4368715,0.4219185,0.4472575,0.4695,0.462602,0.4470715,0.40641,0.4389175,0.435238
0.4470685,0.4587575,0.4308765,0.4231435,0.44789,0.4653105,0.4445005,0.4486625,0.4256755,0.513718,0.4505565,0.4295715,0.433431,0.4224005,0.456534,0.461237,0.4166665,0.4583815,0.4331185,0.454257,0.407563,0.467544,0.4239395,0.4525345,0.4197215,0.414946,0.453159,0.461239,0.4510155,0.4242665,0.4790525,0.42544,0.3835445,0.409171,0.4125605,0.439347,0.475914,0.4445275,0.425919,0.4935175,0.4133695,0.4352915,0.398279,0.4242525,0.437481,0.42616,0.4534385,0.4460135,0.4608005,0.459402,0.464596,0.4186755,0.439991,0.450084,0.443325,0.4462945,0.422204,0.439068,0.456353,0.444333,0.4369275,0.452822,0.471628,0.4482225,0.4524915,0.4139045,0.423342,0.4370055,0.4366875,0.4370575,0.4125005,0.4550305,0.4520035,0.428497,0.448829,0.431019,0.3772335,0.4558775,0.4408505,0.4546295,0.4592245,0.434875,0.4546925,0.4205745,0.403052,0.437824,0.4179595,0.5287655,0.461221,0.493892,0.436665,0.426831,0.434189,0.4500245,0.4751345,0.47286,0.4657015,0.4068035,0.4277485,0.4413415
0.4693615,0.4508935,0.4216855,0.424766,0.445249,0.4607925,0.422024,0.4523,0.426364,0.4771085,0.4383865,0.4199005,0.4241005,0.4210435,0.4527815,0.482837,0.4274085,0.454557,0.4082205,0.474172,0.4034845,0.448963,0.4310195,0.4290485,0.430569,0.4068595,0.452058,0.457617,0.4507895,0.412237,0.4753245,0.4101465,0.3930115,0.3901835,0.400568,0.450868,0.466846,0.417548,0.414397,0.4862545,0.438558,0.4540275,0.4082425,0.4521755,0.4313005,0.415559,0.4514285,0.455544,0.446449,0.460271,0.463833,0.424843,0.4408175,0.431051,0.4570015,0.437658,0.434374,0.4276225,0.4418055,0.393456,0.44723,0.4343085,0.4758465,0.441469,0.45332,0.409218,0.412575,0.422974,0.4043875,0.475411,0.405765,0.4567225,0.4697715,0.445528,0.425552,0.4274785,0.3765285,0.43909,0.419435,0.4395285,0.453194,0.413594,0.455685,0.432637,0.405583,0.4165395,0.4137825,0.5223495,0.446013,0.4896545,0.429601,0.4107845,0.4206705,0.420216,0.48729,0.448095,0.4423645,0.3866825,0.4212985,0.428563
0.4716205,0.4591345,0.428248,0.442243,0.451172,0.4435885,0.441003,0.4623085,0.4198455,0.4993355,0.4126795,0.426041,0.426557,0.419093,0.451933,0.475632,0.4192745,0.436483,0.3936,0.45632,0.40919,0.4392765,0.4364175,0.4311425,0.426929,0.4229085,0.447317,0.434506,0.464014,0.4118025,0.4658925,0.425225,0.393367,0.3897425,0.387271,0.435924,0.448598,0.426809,0.416297,0.487328,0.4205205,0.4556875,0.429433,0.455512,0.440916,0.4132805,0.4433745,0.4555685,0.4323295,0.463344,0.4386275,0.4336485,0.455886,0.42751,0.446194,0.4317615,0.424368,0.423327,0.4427315,0.4178315,0.454292,0.456515,0.4581645,0.4420315,0.463453,0.418537,0.4205,0.4386755,0.417918,0.478242,0.427296,0.4474695,0.469025,0.4205585,0.438631,0.4404085,0.3797,0.453156,0.442752,0.43374,0.450396,0.440459,0.468222,0.4322965,0.4027145,0.4301425,0.418091,0.484938,0.43725,0.4879305,0.4044975,0.406013,0.4249655,0.4242895,0.473655,0.4422145,0.439303,0.40101,0.4273975,0.429983
0.475473,0.451621,0.4190515,0.4364665,0.4551785,0.4559065,0.4420635,0.4726205,0.4105685,0.489344,0.4431255,0.4369625,0.4382855,0.407567,0.4467085,0.4767615,0.422074,0.4360275,0.405086,0.4755605,0.403881,0.4461435,0.4278525,0.448068,0.4429595,0.421826,0.4498385,0.4454865,0.4610685,0.4290085,0.461877,0.4405225,0.409966,0.39601,0.4119045,0.4266575,0.444551,0.424796,0.4179915,0.4680425,0.41964,0.4534755,0.4317145,0.457374,0.4432625,0.41961,0.4327925,0.4416465,0.4504335,0.461786,0.4485705,0.4487745,0.4397945,0.4401345,0.4509975,0.4408365,0.429931,0.4510065,0.4462995,0.4283735,0.4607015,0.4525975,0.4468585,0.4443315,0.454536,0.4101295,0.44152,0.4539345,0.434227,0.463467,0.428308,0.4499835,0.466041,0.44486,0.4375525,0.4376685,0.3777205,0.459317,0.414735,0.455136,0.45732,0.407533,0.473026,0.4347955,0.4285635,0.4290675,0.421025,0.490529,0.4547035,0.472272,0.42678,0.41277,0.429899,0.4457225,0.47709,0.4543195,0.4405725,0.401361,0.433087,0.4517215
